column_name,description,demographic,sdoh_raw,outcome,sdoh_score,data_type,used_sdoh_1,used_sdoh_2,used_sdoh_3,used_sdoh_4,used_sdoh_5,used_sdoh_6,source,higher_better,modifiable,Notes,Interventions,sdoh_Category,PC_Number,Variance_Explained,Loading,weight
pct_lt_18,Percentage of population below 18 years of age,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,,,,,,,,,
pct_65_and_over,Percentage of population ages 65 and older,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,,,,,,,,,
pct_alcoholimpaired,Percentage of driving deaths with alcohol involvement,0,1,0,0,percentage,0,1,0,0,0,0,RWJF,0.0,1.0,Does not have the same relationship to income as % excessive drinking,,2.0,5.0,0.064,0.960238226234666,0.07248018120045298
pct_children_in_poverty,Percentage of people under age 18 in poverty,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
elevation,Elevation Feet,1,0,0,0,continuous,0,0,0,0,0,0,AHRF,,,,,,,,,
hosp_pp_rate,Total Number of Hospitals per person,0,1,0,0,rate,0,0,0,0,0,1,AHRF,1.0,1.0,,,6.0,2.0,0.162,-0.693140379748914,0.1877172653534183
pct_diabetic,Percentage of adults aged 20 and above with diagnosed diabetes,0,0,1,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
pct_drive_alone,Percentage of the workforce that drives alone to work,0,1,0,0,percentage,0,1,0,0,0,0,RWJF,0.0,1.0,Also considered for SDoH 5,,,,,,
pct_excessive_drinking,Percentage of adults reporting binge or heavy drinking,0,1,0,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
pct_fair_poor,"Percent of Adults reporting Fair or Poor Health, age-adjusted",0,1,0,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
pct_female,Percentage of population that is female,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,,,,,,,,,
housing_dens,Housing Unit Density per Sq Mile,0,1,0,0,rate,0,0,0,0,0,0,AHRF,,,,,,,,,
pct_free_or_reduced_lunch,Percentage of children enrolled in public schools that are eligible for free or reduced price lunch,1,0,0,0,percentage,1,0,0,0,0,0,RWJF,0.0,,,,1.0,1.0,0.401,-0.971101449632971,0.5127877237851663
pct_frequent_mental_distress,Percentage of adults reporting 14 or more days of poor mental health per month,0,1,0,0,percentage,0,0,0,0,1,0,RWJF,0.0,,,,,,,,
pct_frequent_physical_distress,Percentage of adults reporting 14 or more days of poor physical health per month,0,1,0,0,percentage,0,0,0,0,0,0,RWJF,0.0,,,,,,,,
pct_hispanic,Percentage of population that is Hispanic,1,0,0,0,percentage,0,0,0,0,0,0,RWJF,,,,,,,,,
