provider_number,facility_name,five_star,address_line_1,city,state,zip,county,phone_number,profit_or_non_profit_,chain_owned,chain_organization,late_shift_,_of_dialysis_stations,offers_in_center_hemodialysis,offers_in_center_peritoneal_dialysis,offers_home_hemodialysis_training,mortality_rate_facility,readmission_rate_facility,standardized_hospitalization_ratio
062303,UNIVERSITY OF CO HOSPITAL - HOME DIALYSIS,3,12605 E. 16TH AVE,AURORA,CO,80045,ADAMS,(720) 848-3102,Non-Profit,False,INDEPENDENT,False,6,False,True,True,30.1,31.8,101.4
062311,THE CHILDRENS HOSPITAL KIDNEY CTR.,Not Available,13123 E 16TH AVE #328,AURORA,CO,80045,ADAMS,(720) 777-6263,Non-Profit,False,INDEPENDENT,False,9,True,True,False,Not Available,Not Available,Not Available
062315,HEART OF THE ROCKIES REGIONAL DIALYSIS CENTER,5,1000 RUSH DRIVE,SALIDA,CO,81201,CHAFFEE,(719) 530-2200,Profit,False,INDEPENDENT,True,4,True,False,False,26.4,Not Available,92
062501,ROCKY MOUNTAIN DIALYSIS (FMC),4,4600 HALE PKWY STE 120,DENVER,CO,80220,DENVER,(303) 320-6894,Profit,True,FRESENIUS MEDICAL CARE,True,30,True,True,True,12.4,26.9,134
062502,LAKEWOOD DIALYSIS (DVA),5,1750 PIERCE ST,LAKEWOOD,CO,80214,JEFFERSON,(303) 238-6111,Profit,True,DAVITA,True,18,True,True,True,19.7,24.4,143.6
062505,NORTHERN COLORADO KIDNEY CENTER (FMC),4,2107 S. TIMBERLINE RD,FORT COLLINS,CO,80525,LARIMER,(970) 482-2161,Profit,True,FRESENIUS MEDICAL CARE,True,20,True,True,True,16.6,26.2,142
062507,PIKES PEAK DIALYSIS CENTER (DVA),3,2002 LELARAY ST STE 130,COLORADO SPRINGS,CO,80909,EL PASO,(719) 471-4615,Profit,True,DAVITA,True,43,True,True,True,26.2,26.9,155.3
062510,GREELEY DIALYSIS (FMC),4,2343 W 27TH ST STE 503,GREELEY,CO,80634,WELD,(970) 330-6100,Profit,True,FRESENIUS MEDICAL CARE,True,25,True,False,False,18.9,20.3,117.6
062511,THORNTON DIALYSIS (DVA),5,8800 FOX DR,THORNTON,CO,80260,ADAMS,(303) 430-7020,Profit,True,DAVITA,True,24,True,False,False,27.6,33.3,192.9
062514,AURORA DIALYSIS (DVA),5,1411 S POTOMAC ST STE 100,AURORA,CO,80012,ARAPAHOE,(303) 368-1911,Profit,True,DAVITA,True,27,True,False,False,18.1,15.7,169.5
062517,BOULDER DIALYSIS (DVA),5,2880 FOLSOM ST STE 110,BOULDER,CO,80304,BOULDER,(303) 440-5600,Profit,True,DAVITA,True,14,True,False,False,16.9,38.6,221.6
062518,SOUTH DENVER DIALYSIS (DVA),5,850 E HARVARD AVE STE 60,DENVER,CO,80210,DENVER,(303) 744-0559,Profit,True,DAVITA,False,17,True,True,False,22.1,13.8,192.6
062519,LITTLETON DIALYSIS (DVA),5,209 W COUNTY LINE RD,LITTLETON,CO,80129,ARAPAHOE,(303) 730-7540,Profit,True,DAVITA,True,17,True,True,False,22.6,27.7,171.4
062520,PUEBLO DIALYSIS (FMC),5,41 MONTEBELLO RD STE 102,PUEBLO,CO,81001,PUEBLO,(719) 545-1575,Profit,True,FRESENIUS MEDICAL CARE,True,21,True,True,True,18.9,17.9,107
062521,ARVADA DIALYSIS CENTER (DVA),4,9950 W 80TH AVE STE 25,ARVADA,CO,80005,JEFFERSON,(303) 456-9556,Profit,True,DAVITA,False,16,True,False,False,26.2,26.3,213.9
062522,CANON CITY DIALYSIS (FMC),5,2245 FREMONT DR,CANON CITY,CO,81212,FREMONT,(719) 276-8404,Profit,True,FRESENIUS MEDICAL CARE,False,12,True,False,False,17.9,28.3,134.5
062523,LOVELAND DIALYSIS (FMC),5,2940 GINNALA DR,LOVELAND,CO,80538,LARIMER,(970) 663-9155,Profit,True,FRESENIUS MEDICAL CARE,False,20,True,False,False,21.4,11.3,131.1
062524,PRINTERS PLACE DIALYSIS CENTER (DVA),4,2802  INTERNATIONAL CIR,COLORADO SPRINGS,CO,80910,EL PASO,(719) 630-0602,Profit,True,DAVITA,False,16,True,True,False,22.2,17.8,133.9
062525,LA JUNTA DIALYSIS (FMC),5,1012 HAYES AVE,LA JUNTA,CO,81050,OTERO,(719) 383-2300,Profit,True,FRESENIUS MEDICAL CARE,False,8,True,False,False,12.1,11.6,104.7
062526,WALSENBURG DIALYSIS (FMC),4,23450 HIGHWAY 160,WALSENBURG,CO,81089,HUERFANO,(719) 738-4864,Profit,True,FRESENIUS MEDICAL CARE,False,12,True,False,False,27,Not Available,60.1
062527,NORTHEAST DENVER DIALYSIS (FKC),3,590 LAREDO ST,AURORA,CO,80017,ARAPAHOE,(303) 344-8704,Profit,True,FRESENIUS MEDICAL CARE,False,17,True,False,False,16.1,28.1,148.7
062528,FOUR CORNERS DIALYSIS CLINIC CORTEZ (DVA),5,610 E MAIN STE C,CORTEZ,CO,81321,MONTEZUMA,(970) 565-4302,Profit,True,DAVITA,False,18,True,True,False,19.2,16.7,118.8
062529,LOWRY DIALYSIS CENTER (DVA),5,7465 E 1ST AVE STE A,DENVER,CO,80230,DENVER,(303) 367-0946,Profit,True,DAVITA,True,24,True,True,True,21,16.5,139.5
062530,MONTROSE DIALYSIS (DCI),5,846 SOUTH 5TH STREET,MONTROSE,CO,81401,MONTROSE,(970) 240-3302,Non-Profit,True,"DIALYSIS CLINIC, INC.",False,10,True,False,False,23.5,23.4,127.4
062531,ENGLEWOOD DIALYSIS (DVA),5,3247 S LINCOLN ST,ENGLEWOOD,CO,80110,ARAPAHOE,(303) 761-0600,Profit,True,DAVITA,False,18,True,True,False,25.1,17.5,202.7
062533,COMMERCE CITY DIALYSIS (DVA),4,6320 HOLLY ST,COMMERCE CITY,CO,80022,ADAMS,(303) 853-4300,Profit,True,DAVITA,False,18,True,False,False,24.4,28.5,215.1
062534,LONGMONT DIALYSIS (DVA),5,1715 IRON HORSE DR STE 170,LONGMONT,CO,80501,BOULDER,(303) 485-4084,Profit,True,DAVITA,False,18,True,True,False,16.9,35.6,245
062535,LAKEWOOD CROSSING DIALYSIS (DVA),5,1057 S WADSWORTH BLVD STE 100,LAKEWOOD,CO,80226,JEFFERSON,(720) 962-6199,Profit,True,DAVITA,True,22,True,False,False,23.1,18.6,110.8
062536,LAMAR DIALYSIS (FMC),5,108 WEST LEE AVE,LAMAR,CO,81052,PROWERS,(719) 336-1170,Profit,True,FRESENIUS MEDICAL CARE,False,12,True,False,False,10.2,25,94
062537,PUEBLO SOUTH DIALYSIS (FMC),5,3426 LAKE AVENUE STE 110,PUEBLO,CO,81004,PUEBLO,(719) 564-2442,Profit,True,FRESENIUS MEDICAL CARE,True,20,True,False,False,19.3,25.5,172.9
062538,GRAND JUNCTION DIALYSIS (DCI),5,2748 CROSSROADS BLVD,GRAND JUNCTION,CO,81506,MESA,(970) 255-0900,Non-Profit,True,"DIALYSIS CLINIC, INC.",False,17,True,True,False,20.4,5.7,78.8
062540,EAST AURORA DIALYSIS (DVA),5,482 S CHAMBERS RD,AURORA,CO,80017,ARAPAHOE,(303) 696-1137,Profit,True,DAVITA,True,28,True,True,False,19.6,28.4,181.3
062541,MILE HIGH PD (DVA),Not Available,1750 PIERCE ST STE A,LAKEWOOD,CO,80214,JEFFERSON,(303) 232-0939,Profit,True,DAVITA,False,3,False,True,True,20.9,11.4,150.9
062542,BRIGHTON DIALYSIS (DVA),5,4700 E BROMLEY LN STE 103,BRIGHTON,CO,80601,ADAMS,(303) 659-2511,Profit,True,DAVITA,False,12,True,True,False,18.9,25.4,158.3
062543,LONETREE DIALYSIS (DVA),5,9777  PYRAMID CT STE 140,ENGLEWOOD,CO,80112,ARAPAHOE,(303) 662-0466,Profit,True,DAVITA,True,12,True,False,False,20.4,15,130.7
062544,BELCARO DIALYSIS (DVA),5,755 S COLORADO BLVD,DENVER,CO,80246,DENVER,(303) 777-2844,Profit,True,DAVITA,False,14,True,True,False,16.6,23.6,192.9
062545,AURORA DIALYSIS (FMC),4,962 POTOMAC CIR,AURORA,CO,80011,ARAPAHOE,(303) 340-1398,Profit,True,RENAL CARE GROUP INC.,True,24,True,False,False,12.9,34.5,193.6
062546,DENVER DIALYSIS (DVA),3,2900 DOWNING ST STE C,DENVER,CO,80205,DENVER,(303) 292-0303,Profit,True,DAVITA,False,16,True,True,False,30.1,25.8,305.7
062547,DURANGO DIALYSIS CENTER (DVA),4,72 SUTTLE ST STE D,DURANGO,CO,81303,LA PLATA,(970) 385-8608,Profit,True,DAVITA,False,8,True,True,False,19.8,20.3,142.6
062548,STAPLETON DIALYSIS (FMC),5,7606 E 36TH AVE,DENVER,CO,80238,DENVER,(303) 322-1513,Profit,True,FRESENIUS MEDICAL CARE,False,20,True,True,True,18.8,25.2,176.6
062550,ALAMOSA DIALYSIS (DVA),5,612 DEL SOL DR,ALAMOSA,CO,81101,ALAMOSA,(719) 589-2022,Profit,True,DAVITA,False,12,True,True,False,21,7.6,74.4
062553,GRAND JUNCTION DIALYSIS CENTER (DVA),5,710 WELLINGTON AVE STE 20,GRAND JUNCTION,CO,81501,MESA,(970) 263-8573,Profit,True,DAVITA,True,18,True,True,False,16.3,11.2,101.9
062554,KIDNEY CENTER OF ARVADA (ARA),5,5265 VANCE ST,ARVADA,CO,80002,JEFFERSON,(303) 403-1127,Profit,True,AMERICAN RENAL ASSOCIATES,True,21,True,True,True,17.9,25.4,153.4
062555,KIDNEY CENTER OF LAFAYETTE (ARA),5,2655 CRESCENT DR STE C,LAFAYETTE,CO,80026,BOULDER,(720) 890-4661,Profit,True,AMERICAN RENAL ASSOCIATES,True,24,True,True,True,21.5,15.9,146.9
062556,KIDNEY CENTER OF LAKEWOOD (ARA),4,6166 W ALAMEDA AVE,DENVER,CO,80226,JEFFERSON,(303) 922-6371,Profit,True,AMERICAN RENAL ASSOCIATES,True,21,True,True,False,21.1,23.4,196.7
062557,KIDNEY CENTER OF LONGMONT (ARA),5,1960 KEN PRATT BLVD STE A,LONGMONT,CO,80501,BOULDER,(303) 485-7100,Profit,True,AMERICAN RENAL ASSOCIATES,True,20,True,True,True,21.2,13.7,128.6
062558,KIDNEY CENTER OF WESTMINSTER (ARA),5,8410 DECATUR ST STE 200,WESTMINSTER,CO,80031,JEFFERSON,(303) 430-6518,Profit,True,AMERICAN RENAL ASSOCIATES,True,24,True,True,True,19.8,19.8,161
062559,NORTH METRO DENVER DIALYSIS (DVA),5,12365 HURON ST STE 500,WESTMINSTER,CO,80234,ADAMS,(303) 451-9093,Profit,True,DAVITA,True,17,True,True,True,21.9,18.8,137.1
062560,LIBERTY DIALYSIS - PUEBLO,5,850 EAGLERIDGE BLVD,PUEBLO,CO,81008,PUEBLO,(719) 253-5980,Profit,True,"US RENAL CARE, INC.",False,18,True,True,False,19.5,23.1,130.7
062561,NORTH COLORADO SPRINGS DIALYSIS (DVA),5,6071 E WOODMEN RD STE 100/120,COLORADO SPRINGS,CO,80923,EL PASO,(719) 638-1223,Profit,True,DAVITA,False,15,True,True,True,34.7,33.9,190.4
062562,PARKER DIALYSIS (DVA),5,10371 S PARK GLENN WAY STE 180,PARKER,CO,80138,DOUGLAS,(303) 840-0541,Profit,True,DAVITA,True,12,False,True,False,21.4,31.7,161.2
062563,LIBERTY DIALYSIS - COLORADO SPRINGS NORTH (FMC),5,2180 HOLLOWBROOK DR,COLORADO SPRINGS,CO,80918,EL PASO,(719) 593-2999,Profit,True,LIBERTY DIALYSIS HAWAII,True,16,True,True,True,16.3,16.8,123.4
062564,LIBERTY DIALYSIS - COLORADO SPRINGS SOUTH (FMC),4,2508 AIRPORT RD,COLORADO SPRINGS,CO,80909,EL PASO,(719) 227-7455,Profit,True,LIBERTY DIALYSIS HAWAII,True,18,True,True,True,23.8,19.1,129.5
062566,LIBERTY DIALYSIS COLORADO SPRINGS CENTRAL (FMC),4,1910 E LELARAY ST,COLORADO SPRINGS,CO,80909,EL PASO,(719) 380-4878,Profit,True,LIBERTY DIALYSIS HAWAII,False,24,True,True,True,22.3,19.3,144.8
062567,MESA COUNTY DIALYSIS (DVA),5,561 25 ROAD STE D,GRAND JUNCTION,CO,81505,MESA,(970) 248-9120,Profit,True,DAVITA,False,15,True,True,True,21.5,18.6,135.2
062568,PUEBLO WEST DIALYSIS (FMC),5,73 N ASPEN SKI WAY,PUEBLO WEST,CO,81007,PUEBLO,(719) 547-3888,Profit,True,FRESENIUS MEDICAL CARE,False,13,True,False,False,21.8,32.1,135.8
062569,BLACK CANYON DIALYSIS (DVA),4,3421 S RIO GRANDE STE D,MONTROSE,CO,81401,MONTROSE,(970) 240-7925,Profit,True,DAVITA,False,13,True,True,False,17.2,28.4,136.9
062570,KIDNEY CENTER OF BEAR CREEK (ARA),3,11058 WEST JEWELL AVE,LAKEWOOD,CO,80232,JEFFERSON,(303) 233-4204,Profit,True,AMERICAN RENAL ASSOCIATES,False,15,True,False,False,18.1,30,193
062571,THORNTON KIDNEY CENTER LLC  (ARA),4,8451 PEARL STREET,THORNTON,CO,80229,ADAMS,(303) 227-9981,Profit,True,AMERICAN RENAL ASSOCIATES,False,13,True,False,False,25.8,21.1,160.4
062572,SOUTHWEST DENVER DIALYSIS (DVA),4,8601 W CROSS DR SUITE C2,DENVER,CO,80123,JEFFERSON,(303) 933-2367,Profit,True,DAVITA,True,8,True,True,False,24.8,13.1,179.5
062573,KIDNEY CENTER ON MAIN (ARA),3,2144 MAIN ST STE 2,LONGMONT,CO,80501,BOULDER,(303) 485-8911,Profit,True,AMERICAN RENAL ASSOCIATES,False,14,True,False,False,24.6,19.3,229.1
062574,RED HAWK DIALYSIS (DVA),5,4348 WOODLAND BLVD STE 131,CASTLE ROCK,CO,80104,DOUGLAS,(303) 663-2875,Profit,True,DAVITA,False,8,True,True,True,8.9,32,192.4
062575,PAVILION DIALYSIS (FMC),5,723 DELAWARE ST #M105,DENVER,CO,80204,DENVER,(303) 623-2107,Profit,True,FRESENIUS MEDICAL CARE,False,27,True,True,False,23.9,28,153.3
062576,SABLE DIALYSIS (DVA),5,509 N SABLE BLVD,AURORA,CO,80011,ADAMS,(303) 366-9458,Profit,True,DAVITA,True,30,True,True,True,17.3,17.7,165.9
062577,NORTHEASTERN COLORADO DIALYSIS (DVA),5,603 HOLLY DRIVE,STERLING,CO,80751,LOGAN,(970) 521-3208,Profit,True,DAVITA,False,12,True,True,False,21.5,19.9,116.7
062578,WEST HAMPDEN DIALYSIS (FMC),5,750 WEST HAMPDEN AVE #110,ENGLEWOOD,CO,80110,ARAPAHOE,(303) 789-5400,Profit,True,FRESENIUS MEDICAL CARE,False,12,True,True,True,12.7,17.2,139.7
062579,LOVELAND CENTRAL DIALYSIS (DVA),4,1453 N DENVER AVE,LOVELAND,CO,80538,LARIMER,(970) 663-4607,Profit,True,DAVITA,False,12,True,True,True,18.6,20.4,238.5
062580,NORTHERN COLORADO HOME THERAPY DIALYSIS (FMC),Not Available,5285 MCWHINNEY BLVD #190,LOVELAND,CO,80538,LARIMER,(970) 667-0596,Profit,True,FRESENIUS MEDICAL CARE,False,4,False,True,True,16.4,11.7,163.9
062581,KIDNEY CENTER OF NORTHRIDGE (ARA),5,"1865 W 121ST AVE, STE 300C",WESTMINSTER,CO,80234,ADAMS,(303) 429-9550,Profit,True,AMERICAN RENAL ASSOCIATES,False,21,True,True,True,25.2,15.7,154.8
062582,WEST LAKEWOOD DIALYSIS CENTER (DVA),5,"11700 W 2ND PL, STE 325",LAKEWOOD,CO,80228,JEFFERSON,(303) 987-4672,Profit,True,DAVITA,False,14,True,False,False,17.6,36.3,236.8
062583,PARKER KIDNEY CENTER (ARA),3,18320 E COTTONWOOD DR STE C,PARKER,CO,80138,DOUGLAS,(303) 805-2060,Profit,True,AMERICAN RENAL ASSOCIATES,True,17,True,True,True,26.9,30.2,182.1
062584,SOUTH DENVER DIALYSIS (FMC),5,3410 S GALENA ST SUITE 100,DENVER,CO,80231,DENVER,(303) 671-2419,Profit,True,FRESENIUS MEDICAL CARE,False,13,True,False,False,15.1,24.2,193.4
062585,NORTH GREELEY DIALYSIS (FMC),5,1212 9TH ST,GREELEY,CO,80631,WELD,(970) 356-5704,Profit,True,FRESENIUS MEDICAL CARE,False,17,True,False,False,12.7,22,147.2
062586,GREELEY DIALYSIS (DVA),5,2812 W 10TH ST,GREELEY,CO,80634,WELD,(970) 352-9072,Profit,True,DAVITA,False,12,True,True,False,22.8,23.6,213.8
062587,KIDNEY CENTER OF WHEAT RIDGE (ARA),5,6920 W 38TH AVE,WHEAT RIDGE,CO,80033,JEFFERSON,(303) 463-3041,Profit,True,AMERICAN RENAL ASSOCIATES,True,16,True,False,False,17,23.4,171.3
062588,FORT COLLINS DIALYSIS,Not Available,1601 PROSPECT PARKWAY,FORT COLLINS,CO,80525,LARIMER,(970) 493-0753,Profit,True,DAVITA,False,13,True,False,False,Not Available,Not Available,Not Available
062589,KIDNEY CENTER OF THE ROCKIES,Not Available,50 BUCK CREEK ROAD,AVON,CO,81620,EAGLE,(970) 949-3236,Profit,True,AMERICAN RENAL ASSOCIATES,False,7,True,True,False,Not Available,Not Available,Not Available
062590,KIDNEY CENTER OF FREDERICK,5,5992 IRIS PARKWAY,LONGMONT,CO,80504,BOULDER,(303) 833-1381,Profit,True,AMERICAN RENAL ASSOCIATES,False,13,True,True,False,Not Available,26,192.1
062591,PLATTE VALLEY DIALYSIS,3,1321 S 4TH AVE,BRIGHTON,CO,80601,ADAMS,(303) 654-8202,Profit,True,DAVITA,False,12,True,True,False,Not Available,16.9,Not Available
062592,MONTBELLO DIALYSIS,5,4834 CHAMBERS ROAD,DENVER,CO,80239,DENVER,(303) 371-1502,Profit,True,DAVITA,False,12,True,False,False,Not Available,7.3,141.8
